grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step
0.6861376073422071,0.9511420875787735,0.9939043259981911,0.9472181833371881,0.9842009246349334,0.8795303245042932,0.9511420875787735,0.9939043259981911,0.9472181833371881,0.9842009246349334,0.8795303245042932,128,0
5.467658861218176,0.369514159495011,0.3739034932129013,0.3716984095257928,0.3654974813569328,0.35510985478899504,0.369514159495011,0.3739034932129013,0.3716984095257928,0.3654974813569328,0.35510985478899504,51328,400
5.639541846014309,0.2280159344989802,0.2307763786961445,0.226971506001302,0.222288084571685,0.20000823358011924,0.2280159344989802,0.2307763786961445,0.226971506001302,0.222288084571685,0.20000823358011924,102528,800
5.0233656429146825,0.22023595296312173,0.22303327071762244,0.2184005146856242,0.21363699655390594,0.1903793231957821,0.22023595296312173,0.22303327071762244,0.2184005146856242,0.21363699655390594,0.1903793231957821,153728,1200
4.719114933191959,0.21014704928966282,0.2133975510844245,0.2087162966107225,0.20397221735088014,0.16032852580404738,0.21014704928966282,0.2133975510844245,0.2087162966107225,0.20397221735088014,0.16032852580404738,204928,1600
4.905232888395437,0.20498177345609325,0.20750435631339853,0.2043657593940201,0.19915050651541563,0.1543238131856663,0.20498177345609325,0.20750435631339853,0.2043657593940201,0.19915050651541563,0.1543238131856663,256128,2000
4.564734011815436,0.2006287647318101,0.20187775438654237,0.19968530585061647,0.20018010183152762,0.17022473930210016,0.2006287647318101,0.20187775438654237,0.19968530585061647,0.20018010183152762,0.17022473930210016,307328,2400
4.516396750577664,0.19763514414662509,0.19899293382133204,0.19532576589163275,0.19603086153188762,0.17693921357285988,0.19763514414662509,0.19899293382133204,0.19532576589163275,0.19603086153188762,0.17693921357285988,358528,2800
4.36309302028991,0.1951780052762488,0.19615244739811408,0.19432775776127553,0.18963945384888137,0.1854505203335474,0.1951780052762488,0.19615244739811408,0.19432775776127553,0.18963945384888137,0.1854505203335474,409728,3200
4.292987942148629,0.19267929793335448,0.19364932315942412,0.1903627252130688,0.1927979133213002,0.18063443667330578,0.19267929793335448,0.19364932315942412,0.1903627252130688,0.1927979133213002,0.18063443667330578,460928,3600
4.1948506756749495,0.19157591688213846,0.19244171795378046,0.18941532782913925,0.19169210253674132,0.18243345585630225,0.19157591688213846,0.19244171795378046,0.18941532782913925,0.19169210253674132,0.18243345585630225,512128,4000
